"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Pennsylvania,Season 2023-24 ,7229,155,29,15,0,17,0,0
States,Rhode Island,Season 2023-24 ,1474,72,2,26,8,34,0,0
States,South Carolina,Season 2023-24 ,327,60,1,22,18,118,0,0
States,South Dakota,Season 2023-24 ,33,10,1,0,1,6,0,0
States,Tennessee,Season 2023-24 ,121,3,9,1,1,13,0,0
States,Texas,Season 2023-24 ,452,99,3,1,3,45,0,0
States,Utah,Season 2023-24 ,171,58,8,0,0,24,0,0
States,Vermont,Season 2023-24 ,55,20,16,2,0,0,0,0
States,Virginia,Season 2023-24 ,383,20,8,14,0,0,0,0
States,Washington,Season 2023-24 ,673,86,7,6,3,3,0,0
States,West Virginia,Season 2023-24 ,146,80,17,0,0,16,0,0
States,Wisconsin,Season 2023-24 ,641,95,101,18,2,17,0,0
States,Wyoming,Season 2023-24 ,335,12,2,10,3,6,0,0
